keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
FANTASY_MEDIUM_SLIME_NAME,Medium Slime,Slime moyen,中史莱姆,ミディアムスライム,중간 슬라임,中史萊姆,Средний слизень,Średni szlam,Slime mediano,Slime médio,Mittlerer Schleim,Orta slime,Slime medio
FANTASY_MEDIUM_SLIME_BEHAVIOUR_DESCRIPTION,Drops only gathered materials. Slowly pursues the player. Summons 1 small slime per second. Splits into 3 small slimes upon death. Evolves after 24 instances of either non-slime enemies dying or materials being picked up within a 150-unit range,Lâche uniquement les matériaux ramassés. Poursuit lentement le joueur. Invoque 1 petit slime par seconde. Se divise en 3 petits slimes à la mort. Évolue après 24 occurrences de morts d'ennemis non-slime ou de ramassage de matériaux dans un rayon de 150 unités,"仅掉落拾取的材料,缓慢追击玩家,每秒召唤1个小史莱姆,死亡时分裂成3个小史莱姆,150范围内死亡的非史莱姆系敌人与其拾取的材料之和达到24个则进化",拾得した素材のみを落とす.ゆっくりプレイヤーを追跡.毎秒1体のスモールスライムを召喚.死亡時に3体のスモールスライムに分裂.150ユニット範囲内で非スライム敵の死亡または素材の拾得が24回発生すると進化,획득한 재료만 떨어뜨립니다. 플레이어를 천천히 추적합니다. 매 초 작은 슬라임을 1마리 소환합니다. 사망 시 3마리의 작은 슬라임으로 분열합니다. 150 범위 내에서 비슬라임 적 사망 또는 재료 획득이 24회 발생하면 진화합니다,"僅掉落拾取的材料,緩慢追擊玩家,每秒召喚1個小史萊姆,死亡時分裂成3個小史萊姆,150範圍內死亡的非史萊姆系敵人與其拾取的材料之和達到24個則進化",Роняет только собранные материалы. Медленно преследует игрока. Призывает 1 малого слизня в секунду. При смерти разделяется на 3 малых слизней. Эволюционирует после 24 событий смерти не-слизней или подбора материалов в радиусе 150 единиц,Upuszcza tylko zebrane materiały. Powoli ściga gracza. Co sekundę przywołuje 1 małego szlama. Przy śmierci dzieli się na 3 małe szlamy. Ewoluuje po 24 przypadkach śmierci przeciwników niebędących szlamami lub zebrania materiałów w zasięgu 150 jednostek,Suelta solo los materiales recogidos. Persigue lentamente al jugador. Invoca 1 slime pequeño por segundo. Se divide en 3 slimes pequeños al morir. Evoluciona tras 24 instancias de muertes de enemigos no slime o recogida de materiales en un radio de 150 unidades,Solta apenas os materiais coletados. Persegue lentamente o jogador. Invoca 1 slime pequeno por segundo. Divide-se em 3 slimes pequenos ao morrer. Evolui após 24 ocorrências de mortes de inimigos não slime ou coleta de materiais em um raio de 150 unidades,Lässt nur gesammelte Materialien fallen. Verfolgt den Spieler langsam. Beschwört 1 kleinen Schleim pro Sekunde. Teilt sich beim Tod in 3 kleine Schleime. Entwickelt sich nach 24 Vorkommnissen von getöteten Nicht-Schleim-Gegnern oder aufgesammelten Materialien in einem Umkreis von 150 Einheiten,Yalnızca toplanan malzemeleri düşürür. Oyuncuyu yavaşça takip eder. Saniyede 1 küçük slime çağırır. Öldüğünde 3 küçük slime'a bölünür. 150 birim menzil içinde balçık olmayan düşman ölümleri veya malzeme toplamanın 24 kez gerçekleşmesinden sonra evrimleşir,Lascia cadere solo i materiali raccolti. Insegue lentamente il giocatore. Evoca 1 slime piccolo al secondo. Si divide in 3 slime piccoli alla morte. Si evolve dopo 24 occorrenze di nemici non slime uccisi o materiali raccolti entro un raggio di 150 unità
FANTASY_BIG_SLIME_NAME,Big Slime,Gros slime,大史莱姆,ビッグスライム,큰 슬라임,大史萊姆,Большой слизень,Duży szlam,Slime grande,Slime grande,Großer Schleim,Büyük slime,Slime grande
FANTASY_BIG_SLIME_BEHAVIOUR_DESCRIPTION,"No materials drop, slowly chases the player, summons 3 small slimes per second, splits into 2 medium slimes upon death, leaves a trail of slime residue lasting 5 seconds each second, slows player by 50% on contact","Ne lâche aucun matériau, poursuit lentement le joueur, invoque 3 petits slimes par seconde, se divise en 2 slimes moyens à la mort, laisse une traînée de résidu gluant durant 5 secondes chaque seconde, ralentit le joueur de 50% au contact","不掉落材料,缓慢追击玩家,每秒召唤3个小史莱姆,死亡时分裂成2个中史莱姆,每秒留下持续5秒的史莱姆粘液痕迹,玩家触碰时被减速50%","素材を落とさず,ゆっくりプレイヤーを追跡.毎秒3体のスモールスライムを召喚.死亡時に2体のミディアムスライムに分裂.毎秒持続5秒のスライム粘液の跡を残し,接触でプレイヤーを50%減速","재료를 떨어뜨리지 않고, 플레이어를 천천히 추적하며, 매 초 작은 슬라임 3마리를 소환하고, 사망 시 중간 슬라임 2마리로 분열하며, 매 초 5초간 지속되는 슬라임 잔여물 흔적을 남기고, 접촉 시 플레이어를 50% 감속시킵니다","不掉落材料,緩慢追擊玩家,每秒召喚3個小史萊姆,死亡時分裂成2個中史萊姆,每秒留下持續5秒的史萊姆黏液痕跡,玩家觸碰時被減速50%","Не роняет материалы, медленно преследует игрока, призывает 3 малых слизней в секунду, при смерти разделяется на 2 средних слизней, каждую секунду оставляет след из слизи длительностью 5 секунд, замедляет игрока на 50% при касании","Nie upuszcza materiałów, powoli ściga gracza, co sekundę przywołuje 3 małe szlamy, przy śmierci dzieli się na 2 średnie szlamy, co sekundę pozostawia ślad szlamu trwający 5 sekund, spowalnia gracza o 50% przy kontakcie","No suelta materiales, persigue lentamente al jugador, invoca 3 slimes pequeños por segundo, se divide en 2 slimes medianos al morir, deja un rastro de residuo de slime que dura 5 segundos cada segundo, ralentiza al jugador un 50% al contacto","Não solta materiais, persegue lentamente o jogador, invoca 3 slimes pequenos por segundo, divide-se em 2 slimes médios ao morrer, deixa um rastro de resíduo de slime que dura 5 segundos a cada segundo, reduz a velocidade do jogador em 50% ao contato","Lässt keine Materialien fallen, verfolgt den Spieler langsam, beschwört 3 kleine Schleime pro Sekunde, teilt sich beim Tod in 2 mittlere Schleime, hinterlässt jede Sekunde eine Schleimspur mit 5 Sekunden Dauer, verlangsamt den Spieler bei Kontakt um 50%","Malzeme düşürmez, oyuncuyu yavaşça kovalar, saniyede 3 küçük slime çağırır, öldüğünde 2 orta slime'a bölünür, her saniye 5 saniye süren slime kalıntısı izi bırakır, temasla oyuncuyu %50 yavaşlatır","Non lascia cadere materiali, insegue lentamente il giocatore, evoca 3 slime piccoli al secondo, si divide in 2 slime medi alla morte, lascia una scia di residuo di slime che dura 5 secondi ogni secondo, rallenta il giocatore del 50% al contatto"
FANTASY_SLIME_KING_NAME,Slime King,Roi slime,史莱姆王,スライムキング,슬라임 킹,史萊姆王,Король слизней,Król szlamów,Rey Slime,Rei Slime,Schleimkönig,Slime Kralı,Re Slime
FANTASY_SLIME_KING_BEHAVIOUR_DESCRIPTION,"Mutation 0:
Slowly pursues the player. Every 3 seconds, it summons 3 Medium Slimes; every 5 seconds, it summons 1 Large Slime. Every 0.5 seconds, it leaves behind a Slime Trail that lasts for 10 seconds. Players who touch the trail are slowed by 50%.

Mutation 1 (50% HP / 35 s)
Builds upon Mutation 0. Additionally, it performs a long-distance dash toward the player every 5 seconds.","Mutation 0 :
Poursuit lentement le joueur. Toutes les 3 secondes, il invoque 3 Slimes moyens ; toutes les 5 secondes, il invoque 1 Grand Slime. Toutes les 0,5 seconde, il laisse derrière lui une traînée de slime pendant 10 secondes. Les joueurs qui touchent la traînée sont ralentis de 50%.

Mutation 1 (50% PV / 35 s) :
S'appuie sur la Mutation 0. De plus, il effectue une ruée à longue distance vers le joueur toutes les 5 secondes.","异变0:
缓慢追击玩家,每3秒召唤3个中史莱姆,每5秒召唤1个大史莱姆,每0.5秒留下持续10秒的史莱姆粘液痕迹,玩家触碰时被减速50%

异变1 (50%生命 / 35秒):
在异变0的基础上,每5秒向玩家长距离冲刺","変異0:
ゆっくりとプレイヤーを追跡する.3秒ごとにミディアムスライムを3体,5秒ごとにラージスライムを1体召喚する.0.5秒ごとに持続10秒のスライムの跡を残し,触れたプレイヤーを50%減速させる.

変異1 (HP50% / 35秒):
変異0に加え,5秒ごとにプレイヤーに向かって長距離ダッシュを行う.","변이 0:
플레이어를 천천히 추적합니다. 3초마다 중간 슬라임 3마리를, 5초마다 큰 슬라임 1마리를 소환합니다. 0.5초마다 10초간 지속되는 슬라임 흔적을 남기며, 흔적에 닿은 플레이어는 50% 감속됩니다.

변이 1 (체력 50% / 35초):
변이 0에 더해, 5초마다 플레이어를 향해 장거리 돌진을 합니다.","異變0:
緩慢追擊玩家,每3秒召喚3個中史萊姆,每5秒召喚1個大史萊姆,每0.5秒留下持續10秒的史萊姆黏液痕跡,玩家觸碰時被減速50%

異變1 (50%生命 / 35秒):
在異變0的基礎上,每5秒向玩家進行長距離衝刺","Мутация 0:
Медленно преследует игрока. Каждые 3 секунды призывает 3 Средних слизней; каждые 5 секунд — 1 Большого слизня. Каждые 0,5 секунды оставляет След из слизи на 10 секунд. Игроки, коснувшиеся следа, замедляются на 50%.

Мутация 1 (50% ОЗ / 35 с):
Основывается на Мутации 0. Дополнительно совершает длинный рывок к игроку каждые 5 секунд.","Mutacja 0:
Powoli ściga gracza. Co 3 sekundy przywołuje 3 Średnie szlamy; co 5 sekund przywołuje 1 Dużego szlama. Co 0,5 sekundy pozostawia Ślad szlamu trwający 10 sekund. Gracze, którzy go dotkną, są spowalniani o 50%.

Mutacja 1 (50% PŻ / 35 s):
Opiera się na Mutacji 0. Dodatkowo co 5 sekund wykonuje daleki doskok w kierunku gracza.","Mutación 0:
Persigue lentamente al jugador. Cada 3 segundos invoca 3 Slimes medianos; cada 5 segundos invoca 1 Slime grande. Cada 0.5 segundos deja un Rastro de slime que dura 10 segundos. Los jugadores que tocan el rastro son ralentizados un 50%.

Mutación 1 (50% Vida / 35 s):
Se basa en la Mutación 0. Además, realiza una embestida de larga distancia hacia el jugador cada 5 segundos.","Mutação 0:
Persegue lentamente o jogador. A cada 3 segundos, invoca 3 Slimes Médios; a cada 5 segundos, invoca 1 Slime Grande. A cada 0,5 segundo, deixa um Rastro de Slime que dura 10 segundos. Jogadores que tocam o rastro são lentificados em 50%.

Mutação 1 (50% PV / 35 s):
Baseia-se na Mutação 0. Além disso, realiza uma investida de longa distância contra o jogador a cada 5 segundos.","Mutation 0:
Verfolgt den Spieler langsam. Alle 3 Sekunden beschwört es 3 Mittlere Schleime; alle 5 Sekunden beschwört es 1 Großen Schleim. Alle 0,5 Sekunden hinterlässt es eine Schleimspur mit 10 Sekunden Dauer. Spieler, die die Spur berühren, werden um 50% verlangsamt.

Mutation 1 (50% LP / 35 s):
Baut auf Mutation 0 auf. Führt zusätzlich alle 5 Sekunden einen weiten Sturmangriff auf den Spieler aus.","Mutasyon 0:
Oyuncuyu yavaşça takip eder. Her 3 saniyede 3 Orta Slime; her 5 saniyede 1 Büyük Slime çağırır. Her 0,5 saniyede 10 saniye süren bir Slime İzi bırakır. İze temas eden oyuncular %50 yavaşlar.

Mutasyon 1 (%50 Can / 35 sn):
Mutasyon 0'ın üzerine kuruludur. Ek olarak her 5 saniyede bir oyuncuya doğru uzun menzilli bir atılma gerçekleştirir.","Mutazione 0:
Insegue lentamente il giocatore. Ogni 3 secondi evoca 3 Slime medi; ogni 5 secondi evoca 1 Slime grande. Ogni 0,5 secondi lascia una Scia di slime che dura 10 secondi. I giocatori che toccano la scia vengono rallentati del 50%.

Mutazione 1 (50% PV / 35 s):
Si basa sulla Mutazione 0. Inoltre, effettua uno scatto a lunga distanza verso il giocatore ogni 5 secondi."
FANTASY_UNICORN_RABBIT_NAME,Unicorn Rabbit,Lapin licorne,独角兔,ユニコーンラビット,유니콘 토끼,獨角兔,Кролик-единорог,Króliczy jednorożec,Conejo unicornio,Coelho unicórnio,Einhornhase,Unicorn Tavşan,Coniglio unicorno
FANTASY_UNICORN_RABBIT_BEHAVIOUR_DESCRIPTION,"Chases the character, deals damage on touch","Poursuit le personnage, inflige des dégâts au contact","追逐角色, 接触时造成伤害","キャラクターを追跡し,接触でダメージを与える","캐릭터를 쫓아가며, 접촉 시 피해를 줍니다","追逐角色,接觸時造成傷害","Преследует персонажа, наносит урон при касании","Goni postać, zadaje obrażenia przy dotknięciu","Persigue al personaje, inflige daño al contacto","Persegue o personagem, causa dano ao toque","Verfolgt den Charakter, verursacht Schaden bei Berührung","Karakteri kovalar, temasla hasar verir","Insegue il personaggio, infligge danni al contatto"
FANTASY_WOLF_NAME,Wolf,Loup,狼,ウルフ,늑대,狼,Волк,Wilk,Lobo,Lobo,Wolf,Kurt,Lupo
FANTASY_WOLF_BEHAVIOUR_DESCRIPTION,"Chases the character, dashes toward them every 0.75 seconds","Poursuit le personnage, fonce vers lui toutes les 0,75 seconde","追逐角色, 每0.75秒向角色冲刺","キャラクターを追跡し,0.75秒ごとにダッシュする","캐릭터를 쫓아가며, 0.75초마다 돌진합니다","追逐角色,每0.75秒向角色衝刺","Преследует персонажа, совершает рывок к нему каждые 0,75 секунды","Goni postać, co 0,75 sekundy wykonuje doskok","Persigue al personaje, se abalanza hacia él cada 0.75 segundos","Persegue o personagem, avança sobre ele a cada 0,75 segundos","Verfolgt den Charakter, stürmt alle 0,75 Sekunden auf ihn zu","Karakteri kovalar, her 0,75 saniyede bir ona doğru atılır","Insegue il personaggio, scatta verso di lui ogni 0,75 secondi"
FANTASY_FLOWER_SPIRIT_NAME,Flower Spirit,Esprit fleur,花妖,フラワースピリット,꽃령,花妖,Цветочный дух,Kwiatowy duch,Espíritu floral,Espírito flor,Blumengeist,Çiçek Ruhu,Spirito dei fiori
FANTASY_FLOWER_SPIRIT_BEHAVIOUR_DESCRIPTION,"Cannot move, will be attacked by lootworm,fires a laser toward the player every 3 seconds with a 1-second warning","Ne peut pas se déplacer, sera attaqué par le ver pillard, tire un laser vers le joueur toutes les 3 secondes avec un avertissement d'1 seconde","无法移动, 会被搜刮虫虫攻击, 每3秒朝玩家方向发射拥有1秒预警的激光","移動できず,ルートワームに攻撃される.3秒ごとに1秒の予兆とともにプレイヤーに向けてレーザーを発射する","이동할 수 없으며, 약탈벌레에게 공격받습니다. 3초마다 1초의 경고와 함께 플레이어를 향해 레이저를 발사합니다","無法移動,會被搜刮蟲蟲攻擊,每3秒朝玩家方向發射擁有1秒預警的雷射","Не может двигаться, будет атакован червем-грабителем, стреляет лазером в игрока каждые 3 секунды с предупреждением за 1 секунду","Nie może się poruszać, zostanie zaatakowany przez łupieżczego robaka, co 3 sekundy strzela laserem w kierunku gracza z 1-sekundowym ostrzeżeniem","No puede moverse, será atacado por el gusano saqueador, dispara un láser hacia el jugador cada 3 segundos con 1 segundo de advertencia","Não pode se mover, será atacado pelo verme saqueador, dispara um laser na direção do jogador a cada 3 segundos com um aviso de 1 segundo","Kann sich nicht bewegen, wird vom Plünderwurm angegriffen, feuert alle 3 Sekunden mit einer 1-sekündigen Warnung einen Laser auf den Spieler","Hareket edemez, yağmacı kurt tarafından saldırıya uğrar, 1 saniyelik uyarıyla her 3 saniyede bir oyuncuya lazer ateşler","Non può muoversi, verrà attaccato dal verme saccheggiatore, spara un laser verso il giocatore ogni 3 secondi con un preavviso di 1 secondo"
FANTASY_SNAKE_NAME,Snake,Serpent,蛇,スネーク,뱀,蛇,Змея,Wąż,Serpiente,Serpente,Schlange,Yılan,Serpente
FANTASY_SNAKE_BEHAVIOUR_DESCRIPTION,"Winds forward toward the character, dashing toward them every second","Serpente vers le personnage, fonçant sur lui chaque seconde","蜿蜒前行靠近角色, 每秒向角色冲刺","キャラクターに向かって蛇行しながら進み,毎秒ダッシュする","캐릭터를 향해 구불구불 이동하며, 매 초 돌진합니다","蜿蜒前行靠近角色,每秒向角色衝刺","Извиваясь, движется к персонажу, каждый секунду совершая рывок","Wije się w kierunku postaci, co sekundę doskakując","Serpentea hacia el personaje, abalanzándose sobre él cada segundo","Serpenteia em direção ao personagem, avançando a cada segundo","Schlängelt sich auf den Charakter zu, stürmt jede Sekunde auf ihn zu","Karaktere doğru kıvrılarak ilerler, her saniye ona atılır","Serpeggia verso il personaggio, scattando ogni secondo"
FANTASY_SWIFT_WOLF_NAME,Swift Wolf,Loup véloce,疾风狼,スイフトウルフ,질풍 늑대,疾風狼,Быстрый волк,Szybki wilk,Lobo veloz,Lobo veloz,Schneller Wolf,Çevik Kurt,Lupo veloce
FANTASY_SWIFT_WOLF_BEHAVIOUR_DESCRIPTION,"Hunt the character, charging toward them rapidly every 0.5 seconds","Traque le personnage, chargeant rapidement vers lui toutes les 0,5 seconde","围猎角色, 每0.5秒快速冲向角色","キャラクターを狩り,0.5秒ごとに高速で突進する","캐릭터를 사냥하며, 0.5초마다 빠르게 돌진합니다","圍獵角色,每0.5秒快速衝向角色","Охотится на персонажа, быстро бросаясь на него каждые 0,5 секунды","Poluje na postać, szarżując szybko co 0,5 sekundy","Acecha al personaje, cargando rápidamente hacia él cada 0.5 segundos","Caça o personagem, investindo rapidamente a cada 0,5 segundos","Jagt den Charakter, stürmt alle 0,5 Sekunden schnell auf ihn zu","Karakteri avlar, her 0,5 saniyede bir hızla üzerine atılır","Caccia il personaggio, caricando rapidamente ogni 0,5 secondi"
FANTASY_GOBLIN_JAVELIN_THROWER_NAME,Goblin Javelin Thrower,Gobelin lanceur de javelot,哥布林标枪手,ゴブリンジャベリン投げ,고블린 투창병,哥布林標槍手,Гоблин-копейщик,Goblin miotacz oszczepów,Duende lanzador de jabalina,Goblin lançador de dardo,Goblin-Speerwerfer,Goblin Cirit Atıcı,Goblin lanciatore di giavellotto
FANTASY_GOBLIN_JAVELIN_THROWER_BEHAVIOUR_DESCRIPTION,"Runs away if the player is too close, Fires a slow projectile that may directly target the player or somewhere near","Fuit si le joueur est trop proche, tire un projectile lent ciblant directement le joueur ou à proximité","太接近时逃离角色, 发射一个可能瞄准玩家也可能瞄准玩家附近的缓慢投射物","プレイヤーが近づきすぎると逃げ出し,プレイヤーまたはその近くを狙う遅い投射物を発射する","플레이어가 너무 가까우면 도망가며, 플레이어나 그 주변을 직접 조준할 수 있는 느린 투사체를 발사합니다","太接近時逃離角色,發射一個可能瞄準玩家也可能瞄準玩家附近的緩慢投射物","Убегает, если игрок слишком близко, выпускает медленный снаряд, целясь прямо в игрока или рядом с ним","Ucieka, gdy gracz jest zbyt blisko, wystrzeliwuje wolny pocisk, który może celować bezpośrednio w gracza lub gdzieś w pobliżu","Huye si el jugador está demasiado cerca, dispara un proyectil lento que puede apuntar directamente al jugador o a algún lugar cercano","Foge se o jogador estiver muito perto, dispara um projétil lento que pode mirar diretamente no jogador ou em algum lugar próximo","Läuft weg, wenn der Spieler zu nahe ist, feuert ein langsames Projektil, das direkt auf den Spieler oder in die Nähe zielen kann","Oyuncu çok yakınsa kaçar, doğrudan oyuncuyu veya yakınını hedef alabilen yavaş bir mermi ateşler","Scappa se il giocatore è troppo vicino, spara un proiettile lento che può mirare direttamente al giocatore o nelle vicinanze"
FANTASY_GOBLIN_PRIEST_NAME,Goblin Priest,Prêtre gobelin,哥布林祭司,ゴブリンプリースト,고블린 사제,哥布林祭司,Гоблин-жрец,Goblin kapłan,Sacerdote duende,Goblin sacerdote,Goblin-Priester,Goblin Rahibi,Goblin sacerdote
